State,ZipCode,ConstituentCode,First gift type,First gift fund,FirstgiftBlock,AgeBlock,Gender,Marital status,activeDoner
WI,54880,Business ,,,0-0,0-0,,,0
MN,55811,Other Organizations ,One-time gift,Other,11-50,0-0,,,1
MN,55733,Other Organizations ,One-time gift,Other,11-50,0-0,,,1
,,Business ,One-time gift,Other,11-50,0-0,,,1
WI,54880,Business ,,,0-0,0-0,,,0
,,Business ,One-time gift,Other,101-500,0-0,,,1
WI,54880,Business ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,0-0,,,1
MN,55802,Business ,One-time gift,0-Unassigned For Use In History,51-100,0-0,,,1
WI,54880,Business ,,,0-0,0-0,,,0
MN,55802,Business ,,,0-0,0-0,,,0
WI,54880,Business ,One-time gift,Other,101-500,0-0,,,1
WI,54880,Business ,,,0-0,0-0,,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
AZ,Other,Alumni ,Pledge,Men's Basketball Fund,101-500,31-40,Male,,1
,,Former Parent ,,,0-0,0-0,Male,,0
MN,Other,Former Parent ,One-time gift,Men's Basketball Fund,51-100,0-0,Female,,1
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54880,Friend ,,,0-0,0-0,Male,,0
Other,Other,Alumni ,,,0-0,Over 80,Male,,0
WI,Other,Alumni ,One-time gift,Superior Fund,51-100,31-40,Female,Single,1
WI,54891,Attended Didn't Graduate ,Pledge,Student Calling Fund,11-50,0-0,Female,Married,1
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Parent ,,,0-0,0-0,Female,,0
MN,55803,Friend ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,41-50,Female,,0
,Other,Parent ,,,0-0,0-0,Unknown,Married,0
,,Students ,,,0-0,0-20,Male,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
,,Alumni ,,,0-0,41-50,Male,Single,0
MN,55810,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55810,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55806,Alumni ,,,0-0,31-40,Male,,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
MN,55720,Friend ,One-time gift,Alumni Association Registration Fees Fund,51-100,0-0,Female,,1
NC,Other,Alumni ,,,0-0,0-0,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Unknown,,0
MN,Other,Friend ,,,0-0,0-0,Male,,0
TX,Other,Other Organizations ,One-time gift,Women's Volleyball Fund,51-100,0-0,,,1
MN,55812,Alumni ,One-time gift,Total gifts given prior to 7/1/86,11-50,0-0,Male,,1
FL,Other,Alumni ,,,0-0,0-0,Unknown,,0
FL,Other,Alumni ,Pledge,Superior Fund,11-50,0-0,Male,Married,1
FL,Other,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
FL,Other,Former Parent ,,,0-0,0-0,Unknown,Married,0
,,Attended Didn't Graduate ,,,0-0,31-40,Unknown,,0
WI,Other,Alumni ,Pledge,Student Calling Fund,11-50,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,41-50,Unknown,,0
,,Alumni ,,,0-0,21-30,Unknown,,0
,,Students ,,,0-0,0-0,Male,,0
MN,Other,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
MN,Other,Alumni ,,,0-0,61-70,Female,Married,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55804,Alumni ,,,0-0,21-30,Female,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
WI,54701,Alumni ,,,0-0,51-60,Male,Married,0
MN,55812,Alumni ,,,0-0,41-50,Female,Single,0
CA,Other,Friend ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Friend ,One-time gift,Other,0-10,0-0,Female,,1
,,Alumni ,,,0-0,0-0,Male,,0
FL,Other,Alumni ,Pledge,Student Calling Fund,11-50,51-60,Female,Married,1
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
MN,55803,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Former Parent ,,,0-0,0-0,Female,Married,0
MN,Other,Friend ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
PA,Other,Alumni ,,,0-0,41-50,Female,Single,0
Other,Other,Alumni ,Pledge,Superior Fund,11-50,41-50,Female,,1
PA,Other,Alumni ,,,0-0,41-50,Male,Single,0
MN,55803,Friend ,One-time gift,Other,11-50,0-0,Male,,1
,,Students ,,,0-0,21-30,Unknown,,0
AZ,Other,Alumni ,,,0-0,0-0,Female,Married,0
AZ,Other,Alumni ,,,0-0,0-0,Male,Married,0
OH,Other,Friend ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,41-50,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,0-0,Male,,1
WI,54880,Retired Faculty/Staff ,One-time gift,Superior Fund,51-100,0-0,Male,,1
MN,Other,Alumni ,,,0-0,31-40,Female,Single,0
MN,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55720,Attended Didn't Graduate ,,,0-0,31-40,Unknown,,0
WI,54016,Alumni ,One-time gift,Other,11-50,41-50,Male,Married,1
