State,ConstituentCode,AgeBlock,Gender,Marital status,activeDoner
WI,Business ,0-0,,,0
MN,Other Organizations ,0-0,,,1
MN,Other Organizations ,0-0,,,1
,Business ,0-0,,,1
WI,Business ,0-0,,,0
,Business ,0-0,,,1
WI,Business ,0-0,,,1
MN,Business ,0-0,,,1
WI,Business ,0-0,,,0
MN,Business ,0-0,,,0
WI,Business ,0-0,,,1
WI,Business ,0-0,,,0
,Attended Didn't Graduate ,0-0,Male,,0
AZ,Alumni ,31-40,Male,,1
,Former Parent ,0-0,Male,,0
MN,Former Parent ,0-0,Female,,1
WI,Alumni ,0-0,Female,,0
WI,Friend ,0-0,Male,,0
ID,Alumni ,Over 80,Male,,0
WI,Alumni ,31-40,Female,Single,1
WI,Attended Didn't Graduate ,0-0,Female,Married,1
MN,Alumni ,21-30,Female,,0
MN,Parent ,0-0,Female,,0
MN,Friend ,0-0,Male,,0
MN,Alumni ,41-50,Female,,0
,Parent ,0-0,Unknown,Married,0
,Students ,0-20,Male,,0
,Attended Didn't Graduate ,21-30,Unknown,,0
,Alumni ,41-50,Male,Single,0
MN,Parent ,0-0,Unknown,Married,0
MN,Parent ,0-0,Unknown,Married,0
MN,Alumni ,31-40,Male,,0
WI,Alumni ,31-40,Female,,0
,Alumni ,0-0,Unknown,,0
MN,Friend ,0-0,Female,,1
NC,Alumni ,0-0,Female,,0
MN,Former Parent ,0-0,Unknown,,0
MN,Friend ,0-0,Male,,0
TX,Other Organizations ,0-0,,,1
MN,Alumni ,0-0,Male,,1
FL,Alumni ,0-0,Unknown,,0
FL,Alumni ,0-0,Male,Married,1
FL,Attended Didn't Graduate ,21-30,Male,,0
FL,Former Parent ,0-0,Unknown,Married,0
,Attended Didn't Graduate ,31-40,Unknown,,0
WI,Alumni ,0-0,Male,Married,1
MN,Alumni ,21-30,Male,,0
WI,Alumni ,41-50,Unknown,,0
,Alumni ,21-30,Unknown,,0
,Students ,0-0,Male,,0
MN,Attended Didn't Graduate ,21-30,Unknown,,0
MN,Alumni ,61-70,Female,Married,0
MN,Parent ,0-0,Unknown,Married,0
MN,Alumni ,21-30,Female,,0
WI,Parent ,0-0,Unknown,Married,0
WI,Alumni ,31-40,Female,,0
WI,Alumni ,51-60,Male,Married,0
MN,Alumni ,41-50,Female,Single,0
CA,Friend ,0-0,Male,,0
WI,Alumni ,51-60,Female,Married,0
WI,Friend ,0-0,Female,,1
,Alumni ,0-0,Male,,0
FL,Alumni ,51-60,Female,Married,1
,Attended Didn't Graduate ,21-30,Male,,0
MN,Alumni ,21-30,Female,,0
MN,Former Parent ,0-0,Male,Married,0
MN,Former Parent ,0-0,Female,Married,0
MN,Friend ,0-0,Female,,0
,Attended Didn't Graduate ,0-0,Unknown,,0
,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,41-50,Female,Single,0
PA,Alumni ,41-50,Female,Single,0
CT,Alumni ,41-50,Female,,1
PA,Alumni ,41-50,Male,Single,0
MN,Friend ,0-0,Male,,1
,Students ,21-30,Unknown,,0
AZ,Alumni ,0-0,Female,Married,0
AZ,Alumni ,0-0,Male,Married,0
OH,Friend ,0-0,Male,,0
WI,Alumni ,0-0,Male,Married,0
MN,Alumni ,0-0,Male,,0
MN,Alumni ,41-50,Female,,0
MN,Alumni ,0-0,Male,,0
WI,Alumni ,0-0,Male,,1
WI,Retired Faculty/Staff ,0-0,Male,,1
MN,Alumni ,31-40,Female,Single,0
MN,Attended Didn't Graduate ,0-0,Male,,0
MN,Attended Didn't Graduate ,31-40,Unknown,,0
WI,Alumni ,41-50,Male,Married,1
MN,Alumni ,0-0,Male,,1
MN,Former Parent ,0-0,Male,Married,0
MN,Alumni ,51-60,Female,Single,0
WI,Alumni ,21-30,Male,,0
MN,Alumni ,61-70,Male,Single,0
MN,Parent ,0-0,Male,,0
WI,Friend ,0-0,Female,Married,1
